,Judul,Industri,Tipe,Kategori,Kota,Provinsi,Negara,Gaji_Min,Gaji_Max,Skills,Pengalaman_Bulan,Pendidikan,Deskripsi
429,Software Developer,Information Technology and Services,FULL_TIME,Full Stack Developer,Jakarta Selatan,DKI Jakarta,ID,6620000.0,9930000.0,".netcore, MySQL, DevExpress, C++, .NET",36.0,bachelor degree,"Develop & maintain aplikasi berbasis .NET (C# / ASP.NET Core) 
 Build UI menggunakan DevExpress (WinForms / WPF / Web) 
 Integrasi dengan API / core system (LOS / banking system) 
 Debugging & troubleshooting issue production 
 Optimize performance aplikasi dan database 
 Berkolaborasi dengan BA, QA, dan tim project 
 Membuat technical documentation 
 
 Requirement : 
 Min. 3 tahun pengalaman .NET Developer 
 Strong di: 
 C# 
 ASP.NET / .NET Core 
 SQL Server / database relational 
 Pengalaman pakai: 
 DevExpress (WAJIB / highly preferred) 
 Paham: 
 MVC / Web API 
 OOP & design pattern 
 Familiar dengan: 
 REST API integration 
 Git (version control) 
 
 Nice to Have  : 
 Pernah handle: 
 Loan Origination System (LOS) 
 Core banking / financial system 
 Experience: 
 DevExpress XAF / XPO 
 Microservices architecture 
 Docker / CI-CD 
 Frontend: 
 JavaScript / Angular / React"
430,Application Developer (.NET),Information Technology and Services,FULL_TIME,Backend Developer,Jakarta Barat,DKI Jakarta,ID,7000000.0,9000000.0,"Software Development, Microsoft SQL Server, Communication Skills, Object-Oriented Programming (OOP), .NET",Tidak ada,bachelor degree,"Job Descriptions : 
 
 Developing and implementing web applications 
 Optimizing web applications 
 Write clean, testable and maintainable code 
 Perform unit and integration testing before launch 
 Conduct functional and non-functional testing 
 
 
 Requirements : 
 
 Bachelor’s Degree in Computer Science / Information System with GPA > 3,00 
 Have experience with ASP.NET, C# .NET, SQL Server is preferred 
 In-depth knowledge of programming for diverse operating systems and platforms using development tools 
 Excellent understanding of software design and programming principles 
 Strong passion on IT industry 
 Understand OOP Concepts is preferred 
 A team player with excellent communication skills 
 Self-motivated and good attitude 
 Have curiosity to explore and learn new things 
 Fresh graduates and High School graduate are welcome to apply"
431,Frontend Developer - Banking,Information Technology and Services,CONTRACTOR,Frontend Developer,Jakarta Selatan,DKI Jakarta,ID,9000000.0,10500000.0,"React.js, TypeScript, HTML, JavaScript, CSS",36.0,bachelor degree,"Kualfikasi : 
 
 Lulusan S1 dari jurusan T. Informatika/sejenisnya 
 Memiliki pengalaman 3 tahun sebagai Frontend Developer 
 Diutamakan yang berasal dari industri perbankan 
 Memiliki pengalaman mengembangkan aplikasi web production-grade (bukan hanya landing page) 
 Menguasai JavaScript (ES6+) dan TypeScript 
 Menguasai React.js dan Next.js 
 Memahami arsitektur Next.js (App Router / Page Router) 
 Berpengalaman membangun aplikasi frontend yang modular, scalable, dan maintainable 
 Menguasai HTML5, CSS3, dan responsive web design 
 Terbiasa menggunakan Git untuk version control 
 Terbiasa menggunakan package manager seperti pnpm / npm / yarn 
 Terbiasa bekerja dalam metodologi Agile / Scrum"
432,RPA Developer - Telecommunication Industry,Information Technology and Services,CONTRACTOR,Backend Developer,Jakarta Selatan,DKI Jakarta,ID,6870000.0,10305000.0,"UiPath, Orchestrator, Power Apps, Microsoft Power Automate, Power BI, Robotics",36.0,bachelor degree,"Requirements: 
 1. Minimal 3-4 tahun pengalaman sebagai RPA Developer 
 2. Pengalaman hands-on dengan: 
 • UiPath (Studio, Orchestrator) 
 • Microsoft Power Automate (Cloud & Desktop) 
 3. Memiliki pengalaman dalam migrasi RPA dari UiPath ke Power Platform (nilai plus besar) 
 4. Familiar dengan ekosistem Microsoft Power Platform (Power Apps, Power BI, dll.) 
 5. Pemahaman yang baik tentang workflow automation, API integration, dan data handling 
 6. Mampu melakukan debugging dan problem solving secara mandiri 
 7. Memiliki kemampuan komunikasi yang baik"
433,Full Stack Developer,Information Technology and Services,FULL_TIME,Full Stack Developer,Jakarta Selatan,DKI Jakarta,ID,Tidak ada,Tidak ada,"React.js, Teamwork, UX Design, Redis, JavaScript, Node.js, Laravel, UI Design",12.0,professional certificate,"Job Descriptions 
 
 Melakukan implementasi UI/UX pada sistem / web aplikasi 
 Mampu membaca dokumen rancangan pengembangan sistem seperti ERD, DFD 
 Mampu melakukan pembuatan sistem / web aplikasi sesuai dengan dokumen rancangan sistem 
 Mampu melakukan pembuatan sistem / web aplikasi menggunakan framework Laravel / Flask / GoFiber/ Spring 
 Mampu melakukan pembuatan sistem / web aplikasi menggunakan database PostgreSQL / NoSQL /Redis / Elastic 
 Mampu melakukan pembuatan sistem / web aplikasi yang terintegrasi dengan penyimpanan object storage menggunakan protocol S3 
 Bersedia ikut meeting dengan client 
 
 Job Requirements 
 
 Pendidikan minimal S1 Ilmu komputer/ Sistem Informasi/ Informasi teknologi 
 Pengalaman minimal 3 tahun di bidang yang sama 
 Kemampuan pengkodingan menggunakan OOP, MVC 
 Kemampuan dalam menggunakan framework Laravel / Flask / Spring / GoFiber 
 Pengalaman menggunakan teknologi front end seperti reactjs, nextjs 
 Familiaritas dengan mesin database seperti PostgreSQL, NoSQL, Redis, Elastic, Object Storage S 
 Familiar dengan bahasa pemrograman Python / PHP / Java / Go"
434,Frontend Developer,Information Technology and Services,FULL_TIME,Frontend Developer,Jakarta Utara,DKI Jakarta,ID,16000000.0,20000000.0,"Vue.js, REST API, React.js",36.0,bachelor degree,"The ideal candidate will be responsible for designing, developing, testing, and debugging responsive web and mobile applications for the company. Using JavaScript, HTML, and CSS, and Vue or React for framework. This candidate will be able to translate user and business needs into functional frontend design.  
 
 Responsibilities 
 
 Designing, developing, and testing UI for mobile and web applications 
 Build reusable code and libraries for future use 
 Accurately translate user and business needs into functional frontend code 
 Excellent communication and teamwork abilities 
 
 
 Qualifications 
 
 Bachelor's degree or equivalent in Computer Science 
 2+ years' experience in frontend development 
 Familiarity using Scrum/Agile development methodologies 
 Experience building object oriented web applications in JavaScript, HTML5, and CSS3, Vue JS, React JS 
 Familiar with front-end building tool and process such as Webpack, Babel, and NPM or Yarn. 
 Experience with dapps, web3 
 Good UI/UX Skills"
435,Fullstack Developer,Education Management,FULL_TIME,Full Stack Developer,Sleman,DI Yogyakarta,ID,Tidak ada,Tidak ada,"REST API, GIT, Laravel, Vue.js",12.0,bachelor degree,"Kualifikasi : 
 Berpengalaman di Laravel 
 Menguasai Laravel, Vue.js, REST API 
 Pengalaman dalam desain arsitektur aplikasi 
 Mampu merancang sturktur backend dan database scalable"
436,Senior VB.NET Developer (Outsource),Information Technology and Services,CONTRACTOR,Backend Developer,Jakarta Selatan,DKI Jakarta,ID,10000000.0,22000000.0,"React.js, VB.NET, Microsoft SQL Server, PHP, .NET, Node.js",60.0,bachelor degree,"Role Overview   
 We are seeking a senior-level VB.NET developer to manage, maintain, and stabilize  
 existing legacy applications. This role will play a critical part in ensuring business continuity  
 by handling production issues, performing enhancements, and maintaining system  
 reliability.  
 The ideal candidate is highly experienced in working with legacy systems, capable of  
 navigating complex and minimally documented codebases, and able to implement  
 changes in a controlled and low-risk manner.  
 
 Key Responsibilities   
 
  Maintain and support applications developed in VB.NET (.NET Framework)   
 Investigate, troubleshoot, and resolve production issues with proper root cause analysis 
 Perform bug fixing, minor enhancements, and system patches   
 Ensure application stability, reliability, and performance   
 Analyze and understand legacy code with limited documentation   
 Document system behavior, fixes, and technical flows where necessary   
 Conduct impact analysis before implementing changes   
 Collaborate with internal stakeholders (DBA, infrastructure, business users)   
 Support deployment, release, and rollback activities   
 Ensure proper use of version control and change management practices   
 Provide input and recommendations for system improvements or gradual modernization   
 
 
 Required Technical Skills   
 
 Strong experience in VB.NET / .NET Framework (minimum 5–8 years)   
 Proven experience maintaining and supporting legacy / monolithic applications   
 Strong SQL knowledge, preferably Microsoft SQL Server: 
 
 
  Query writing and optimization  
 Stored procedures and database troubleshooting   
 
 
 Experience with Windows-based applications (WinForms / WebForms)   
 Familiarity with source control systems (Git, SVN, or similar)   
 Experience handling production support and incident resolution   
 Ability to understand and work with poorly structured or undocumented codebases  
 
   
 Preferred Skills (Nice to Have)  
 
 Exposure to system integration (APIs, web services)   
 Experience in healthcare or hospital systems (if relevant to your environment)   
 Familiarity with ERP or enterprise systems   
 Experience with logging, monitoring, and incident management tools   
 Working knowledge of modern web technologies, including:   
 
 
 Node.js   
 React   
 PHP   
 
 Soft Skills / Behavioral Requirements   
 
 Strong analytical and problem-solving skills   
 High level of ownership and accountability   
 Able to work independently with minimal supervision   
 Good communication skills, both technical and non-technical   
 Detail-oriented and careful when working in production environments   
 Comfortable working in complex and ambiguous legacy environments 
 
 
 Engagement Details   
 
 Employment Type: Outsource   
 Allocation: full-time / dedicated resource   
 Work Setup: Onsite   
 Contract Duration: 12 months  
 
 Deliverables / KPIs  
 
 Timely resolution of incidents based on agreed SLA   
 Stability and uptime of supported systems   
 Low regression rate from fixes and enhancements   
 Quality and completeness of technical documentation   
 Effective collaboration with internal stakeholders   
 
 Ideal Candidate Profile   
 
 Experienced in handling legacy systems in production environments   
 Able to quickly understand existing systems without heavy documentation   
 Takes a pragmatic approach to balancing quick fixes and long-term stability   
 Comfortable acting as a system owner / caretaker rather than purely feature developer   
 Has exposure to modern technologies, enabling future transition if required"
437,Web Developer,Retail,FULL_TIME,Full Stack Developer,Gianyar,Bali,ID,Tidak ada,Tidak ada,"jQuery, CSS, HTML, Web Development, JavaScript, PHP, MySQL, Laravel",Tidak ada,high school,"💻 SUKA NGODING & SENANG NGELIAT HASIL KERJAMU DIPAKAI BANYAK ORANG?  
 Good Ponsel lagi cari Web Developer yang siap berkembang bareng tim kami! 
 Kita bukan sekadar toko HP—selama 2 tahun berturut-turut jadi toko dengan pelayanan terbaik & punya 16.000+ review bintang 5 ⭐. 
 Sekarang, kita butuh kamu untuk bantu bikin sistem & website yang makin cepat, stabil, dan powerful! 
 🎯 KAMI CARI KAMU YANG: 
 
 Paham PHP & MySQL (WAJIB) 
 Mengerti JavaScript & jQuery 
 Familiar dengan Laravel Framework 
 Bisa kerja tim maupun individu 
 Fresh graduate? Boleh banget! 👍 
 Tidak sedang kuliah / bekerja 
 
 
 APA YANG AKAN KAMU KERJAKAN? 
 
 Bangun & Kembangkan Website :  Kamu akan mengembangkan website menggunakan Laravel agar performanya cepat, stabil, dan user-friendly. 
 Ngulik & Beresin Problem :  Menemukan bug, error, atau kendala sistem lalu menyelesaikannya dengan solusi yang tepat. 
 Bikin Fitur Baru :  Ikut mengembangkan fitur-fitur baru yang mendukung operasional & perkembangan bisnis. 
 Kerja Bareng Tim Solid :  Kolaborasi dengan tim untuk menciptakan sistem yang lebih baik setiap harinya. 
 
 Jangan cuma jago ngoding—tunjukkan hasil karyamu sekarang!"
438,Web Developer,Information Technology and Services,CONTRACTOR,Frontend Developer,Jakarta Selatan,DKI Jakarta,ID,Tidak ada,Tidak ada,"CSS, Web Development, Angular.js, Node.js, HTML",36.0,bachelor degree,"Petrolink is a global company that specializes in user-driven technology for the Energy Industry. We are currently looking for a new Front-End Developer to join our team. As a member of the development team, you will be a key player in building innovative products that encompass the future of data management, visualization, and analytics in our industry. Our Developers work as part of a multi-disciplinary team in an Agile/DevOps environment. You will be able to deliver high-quality code and be able to build reliable and scalable applications. 
 
 Duties & Responsibilities: 
 The Web Developer will be responsible for day-to-day coding and development activities. This will include relevant Unit Testing using various Unit Testing tools, as applicable in an Agile and DevOps Environment. This will also include working efficiently with the respective teams and giving consistent results that align well with business needs. The developer must be reliable, should show a high-level of understanding, have an innovative attitude, and be able to meet objectives in a timely manner. They should demonstrate an ability to pro-actively communicate progress and requirements to the technical lead and manager as required. The correct individual will be highly driven and motivated, and be able to meet new and demanding targets consistently and successfully as required. 
 
 Write well-organized and sustainable code. 
 Design new software and perform modifications/maintenance to existing software. 
 Present ideas for software improvements. 
 Work closely with other team members to achieve common goals. 
 Identify and communicate best development practices. 
 Debug/Troubleshoot deployed software. 
 Document requirements and implementation. 
 Work closely with other developers and other staff (including but not limited to Product Manager, Operations, Testers, etc.). 
 
 
 Skills & Qualifications: 
 
 Proven experience in Angular 2+ (preferably up to date with latest releases). 
 Experience in using NodeJS. 
 Experience in HTML/CSS. 
 Work experience in the development of frameworks and web platforms are key to this position. 
 B Tech/MCA/M Tech in Computer Science or related field. 
 1+ year’s relevant experience. 
 Good interpersonal skills. 
 Clear English communication expected in written and oral forms 
 Knowledge and experience of working with Agile development methodologies. 
 
 
 
 Preferred Qualifications: 
 
 Experience in React (ReactJS). 
 Experience in Event-Driven Programming including experience with RabbitMQ, Kafka, or other message brokers. 
 Experience and/or knowledge of .Net/C# or any OOPS Concepts and technologies. 
 Experience working with CI/CD processes and technologies. 
 
 
 The above statements are intended to describe the general nature and level of work being performed. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills."
439,Ruby on Rails Developer,Media Production,FULL_TIME,Backend Developer,Jakarta Selatan,DKI Jakarta,ID,6000000.0,12000000.0,"Node.js, Ruby on Rails, Java, JavaScript, MySQL",12.0,bachelor degree,"We are looking for a talented Ruby on Rails Developer to join our team and help build and maintain scalable, high-performance web applications. You’ll work with a dynamic team of developers, designers, and product managers to create innovative solutions for our clients. 
 
 Responsibilities 
 
 Design, build, and maintain efficient, reusable, and reliable Ruby on Rails code. 
 Develop and implement new features and enhancements for web applications. 
 Optimize application performance, scalability, and security. 
 Troubleshoot and debug issues across the stack (frontend, backend, database). 
 Write clean, maintainable, and well-documented code. 
 Collaborate with cross-functional teams, including UI/UX designers and project managers. 
 Stay up-to-date with best practices in Ruby on Rails and web development. 
 Requirements 
 
 Proven experience as a Ruby on Rails Developer (2+ years preferred). 
 Strong understanding of Ruby, Rails framework, and MVC architecture. 
 Experience with front-end technologies like HTML, CSS, JavaScript, and React/Vue.js is a plus. 
 Knowledge of databases such as PostgreSQL, MySQL, or MongoDB. 
 Familiarity with RESTful APIs and third-party integrations. 
 Proficiency in Git and version control workflows. 
 Experience with cloud platforms (AWS, Heroku, etc.) is a bonus. 
 Strong problem-solving skills and ability to work independently."
440,Frontend Developer,Information Technology and Services,FULL_TIME,Frontend Developer,Surabaya,Jawa Timur,ID,Tidak ada,Tidak ada,"JavaScript, Frontend Development, React.js",12.0,professional certificate,"Company Description 
 We are PropTech company based in Singapore, and also provide a system development outsourcing service dedicated to innovation and quality, providing cutting-edge technology solutions for businesses in Japan, Singapore, and Indonesia. Our mission is to elevate our clients’ businesses to the next level by staying at the forefront of technological trends and delivering efficient and effective software development services. 
 
 Role Description 
 This is a full-time on-site role for a Frontend Developer.  
 The Frontend developer will be responsible for : 
 
 Complete tasks associated with designing, developing and implementing user-friendly web applications.  
 Collaborate with Backend Developer, Product and Design Teams to improve user experience  
 Implement UI designs into high-quality, reusable, and scalable code 
 Integrate frontend components with backend APIs and services 
 Optimize applications for speed, performance, and scalability 
 Participate in code reviews and contribute to frontend best practices 
 
 
 Qualifications 
 
 Willing to work in Surabaya Office 
 Good in English (speaking and writing)  
 Bachelor’s degree in Computer Science, Computer Engineering, or related field 
 Front-End Development and Responsive Web Design skills 
 Proficiency in HTML, CSS, JavaScript, and jQuery 
 Experience with React, Angular, or other Front-end frameworks/libraries 
 Experience with version control, particularly with Git 
 Excellent problem-solving skills and ability to troubleshoot issues quickly 
 Ability to work in a fast-paced environment and handle multiple projects simultaneously"
441,Fullstack Developer,Information Technology and Services,FULL_TIME,Full Stack Developer,Jakarta Selatan,DKI Jakarta,ID,4000000.0,7000000.0,"PHP, Java, MySQL, Node.js, JavaScript",12.0,bachelor degree,"Responsibilitas: 
 Mengembangkan perangkat lunak dengan menggabungkan pemprograman Frontend dan Backend. 
 Merancang, mengembangkan, dan memelihara sistem informasi yang kompleks. 
 Membuat tampilan antarmuka pengguna yang menarik dan responsif. 
 Memastikan kualitas dan keamanan perangkat lunak melalui pengujian dan debugging. 
 Berkoloborasi dengan tim pengembang, desainer, dan pengguna untuk memahami kebutuhan dan mengoptimalkan pengalaman pengguna. 
 
 Kualifikasi: 
 Menguasai di bidang ilmu Komputer, Teknik Perangkat Lunak, atau bidang terkait. 
 Diutamakan berpengalaman sebagai Software Engineer, memiliki pengalaman kerja minimal 1 tahun. 
 Penguasaan menggunakan bahasa pemprograman seperti Java, Laravel, Python, atau Node.js, serta kerangka kerja seperti Spring, Django, atau Express. 
 Kemampuan untuk bekerja dalam tim lintas disiplin, termasuk kolaborasi dengan pengembangan, analisis bisnis, dan pemangku kepentingan lainnya"
442,Web Developer,Design,FULL_TIME,Full Stack Developer,Semarang,Jawa Tengah,ID,2000000.0,5000000.0,"Node.js, React.js, PHP, Laravel, JavaScript",Tidak ada,high school,"Tanggung Jawab : 
 
 Mengembangkan dan memelihara aplikasi web menggunakan 
 Berkolaborasi dengan tim untuk menghasilkan perangkat lunak berkualitas 
 Menulis kode yang efisien, dan terdokumentasi dengan baik 
 Melakukan code review dan diskusi teknis dengan tim 
 Mengintegrasikan API pihak ketiga dan mengelola basis data 
 Menggunakan Git untuk version control dan berkolaborasi melalui pull request 
 
 
 Kualifikasi : 
 
 Memiliki minat & keinginan yang tinggi dalam dunia pemrograman 
 Bertanggung jawab & memiliki komitmen untuk bertumbuh 
 Bersedia datang kekantor sesuai dengan jam kerja 
 Menguasai salah satu skill berikut  Laravel / Python / React / Vue / Javascript 
 Mampu membuat CRUD tanpa bantuan AI 
 
 
 Benefit :  
 
 Gaji   
 Jenjang karir 
 Bonus achievement 
 Tunjangan lainnya"
443,Fullstack Developer,Medical Practice,FULL_TIME,Full Stack Developer,Bantul,DI Yogyakarta,ID,4000000.0,5000000.0,"MySQL, Node.js, Laravel, PostgreSQL",12.0,professional certificate,"PT Insan Medika Persada adalah perusahaan agency home care terkemuka di Indonesia, yang juga menjadi perintis dalam layanan home care berbasis digital. Dengan menghadirkan layanan Home Care Live-In 24 jam yang mencakup berbagai jenis perawatan seperti perawat disabilitas, perawat lansia, perawat orang sakit, dan perawat medis, perusahaan ini telah memperkuat posisi di industri kesehatan di Indonesia. Kami berkomitmen untuk memberikan solusi terbaik bagi keluarga yang membutuhkan perawatan rumah tangga berkualitas tinggi. Oleh karena itu, kami sedang mencari Full Stack Developer yang berbakat untuk bergabung dengan tim kami dan membantu memajukan layanan home care kami ke tingkat yang lebih tinggi. 
 
 Sebagai Full Stack Developer, Anda akan bertanggung jawab untuk mengembangkan aplikasi dan platform teknologi yang mendukung layanan home care kami. Tugas utama Anda termasuk merancang, mengembangkan, dan mengelola fitur-fitur teknologi yang diperlukan untuk menjaga kualitas layanan. Anda akan bekerja sama dengan tim untuk memastikan bahwa setiap elemen teknologi yang dibutuhkan untuk mendukung layanan home care dapat berjalan dengan baik dan efisien. Selain itu, Anda akan bertanggung jawab untuk memastikan bahwa semua sistem teknologi yang ada selalu up-to-date dan terjaga keamanannya. 
 
 Untuk menjadi bagian dari tim kami, Anda harus memiliki gelar diploma dan memiliki pengalaman kerja minimal satu hingga tiga tahun. Keterampilan yang dibutuhkan termasuk pemahaman mendalam tentang Node.js, MySQL, PostgreSQL, serta pengalaman dalam menggunakan framework Laravel. Kami menyambut aplikasi dari para profesional yang memiliki minat besar dalam bidang home care dan teknologi, dan yang siap untuk berkontribusi pada pengembangan layanan kami. PT Insan Medika Persada menawarkan kesempatan untuk berkembang dan berkolaborasi dengan tim yang dinamis dan profesional. Bergabunglah dengan kami dan jadilah bagian dari perjalanan menuju revolusi home care di Indonesia."
444,Web Developer,Computer Software,FULL_TIME,Frontend Developer,Malang,Jawa Timur,ID,300000.0,700000.0,"Frontend Development, JavaScript, Canva Design, Front-End Architecture, HTML, WordPress Development, CSS",12.0,bachelor degree,"Job Descriptions 
 
 Mengembangkan dan memelihara website berbasis WordPress dengan tampilan profesional, responsif, dan cepat. 
 Mengimplementasikan desain dari tim UI/UX menjadi halaman web yang fungsional. 
 Mengoptimalkan performa website (kecepatan, SEO teknis, keamanan, dan aksesibilitas). 
 Mengintegrasikan plugin, tema, dan API sesuai kebutuhan proyek. 
 Melakukan debugging dan memastikan kompatibilitas antar browser dan perangkat. 
 Bekerja sama dengan tim desain, konten, dan backend untuk menghasilkan hasil akhir yang konsisten dengan brand. 
 Memastikan standar kode, dokumentasi, dan struktur file rapi untuk pemeliharaan jangka panjang. 
 Membantu migrasi website (staging → live) dan melakukan testing sebelum peluncuran. 
 
 
 Job Requirements 
 
 Tidak dalam penempuh pendidikan 
 Tidak untuk magang 
 Pendidikan minimal D3/S1 di bidang Teknologi Informasi, Desain Web, atau sejenisnya. 
 Pengalaman minimal 1 tahun sebagai Front End Developer, khususnya di platform WordPress. 
 Menguasai HTML5, CSS3, JavaScript/jQuery, dan PHP dasar. 
 Berpengalaman dengan page builder (Elementor, Avada, Beaver Builder, Gutenberg, dll). 
 Memahami konsep responsif dan mobile-first design. 
 Memiliki pengalaman dengan integrasi plugin (ACF, WooCommerce, WPForms, Yoast, dsb). 
 Memahami dasar SEO teknis dan optimalisasi kecepatan (GTMetrix, PageSpeed, caching, CDN). 
 Teliti, kreatif, memiliki kemampuan problem solving, dan mampu bekerja dalam tim. 
 Nilai tambah jika familiar dengan Git, Figma, atau website performance optimization tools."
445,ReactJS Developer,Information Technology and Services,INTERN,Frontend Developer,Tangerang,Banten,ID,Tidak ada,Tidak ada,"TypeScript, React.js, Vue.js, JavaScript, jQuery, Frontend Development, CSS, Front-End Architecture, HTML",12.0,bachelor degree,"PT. Solvera Global Teknologi, sebuah perusahaan inovatif di bidang teknologi informasi di Indonesia, sedang mencari kandidat terbaik untuk posisi ReactJS Developer. Sebagai bagian dari tim kami yang dinamis, Anda akan berkontribusi dalam pengembangan perangkat lunak dan integrasi sistem yang mendukung berbagai sektor industri. Dengan komitmen kami untuk memberdayakan perusahaan melalui implementasi sistem yang efisien, kami berharap Anda dapat membantu kami menghadapi tantangan dunia digital yang semakin kompleks. 
 
 Kami membutuhkan seorang ReactJS Developer yang mampu bekerja secara mandiri maupun dalam tim untuk mendukung proyek-proyek teknologi kami. Sebagai seorang ReactJS Developer, Anda akan memiliki kesempatan untuk bekerja dengan lingkungan kerja yang fleksibel dan profesional, dengan opsi pekerjaan remote. Ini adalah kesempatan yang luar biasa untuk seorang lulusan S1 yang memiliki minat dalam pengembangan front-end dan pengalaman minimal 1 hingga 3 tahun di bidang ini. 
 
 Berikut adalah tugas-tugas utama yang akan Anda tangani sebagai ReactJS Developer: 
 
 - Mengembangkan antarmuka pengguna yang responsif dan intuitif menggunakan React.js dan Vue.js. 
 - Menerapkan desain arsitektur front-end yang efisien dan bersih. 
 - Mengelola kode sumber dengan JavaScript, jQuery, HTML, CSS, dan TypeScript. 
 - Membantu integrasi sistem dengan perangkat lunak lain untuk meningkatkan efisiensi operasional. 
 - Mengidentifikasi dan memperbaiki bug serta optimasi performa aplikasi. 
 - Menyesuaikan aplikasi untuk kebutuhan spesifik pelanggan. 
 
 Untuk melamar posisi ini, Anda harus memenuhi syarat berikut: 
 
 - Pria, lulusan S1 di bidang teknologi informasi atau terkait.- Pengalaman kerja minimal 1 hingga 3 tahun dalam pengembangan front-end. 
 - Memiliki pengetahuan dalam Front-End Architecture, JavaScript, jQuery, HTML, Vue.js, CSS, React.js, dan TypeScript. 
 - Kemampuan untuk bekerja secara remote dengan fleksibilitas waktu. 
 
 Jika Anda tertarik untuk bergabung dengan tim yang berdedikasi, dan ingin menjadi bagian dari perjalanan inovasi di PT. Solvera Global Teknologi, silakan kirimkan CV Anda melalui alamat email yang kami berikan di situs web kami. Kami berharap bisa bekerja sama dengan Anda untuk menciptakan solusi teknologi terbaik."
447,Web Developer,Import and Export,FULL_TIME,Frontend Developer,Sukoharjo,Jawa Tengah,ID,2000000.0,3000000.0,"HTML, JavaScript, CSS",12.0,bachelor degree,"perusahaan importir dan distribusi dengan pngalaman 15 thn exist. 
 utk detil silahkan lihat bio.  
 kami utamakan untuk yang sudah tidak bekerja. apabila masi bekerja kami akan langsung skip. 
 
 membuat website 
 membuat aplikasi android 
 maintain web dan aplikasi 
 memaintain semua online channel berfungsi 
 business intelligence"
448,Software Developer,Computer Games,FULL_TIME,Full Stack Developer,Surabaya,Jawa Timur,ID,3000000.0,5000000.0,"MySQL, Node.js, JavaScript, Laravel",12.0,high school,"Netarena.id atau Netra - Warnet Masa Depan telah hadir di Surabaya dengan visi menciptakan tempat hiburan dan akses informasi yang aman serta modern bagi masyarakat. Kami percaya bahwa teknologi kami berharap dapat memberikan pengalaman yang lebih baik kepada setiap individu. Karena terus berkembangnya bisnis kami, kami sekarang membuka peluang kerja bagi individu yang ingin bergabung dalam misi menjadi tempat yang lebih modern dan berbasis teknologi. 
 
 Kami sedang mencari seorang Full Stack Developer atau Software Developer yang siap menghadirkan solusi teknologi yang canggih dan efisien. Sebagai anggota tim kami, Anda akan memiliki kesempatan untuk bekerja dengan tim profesional yang berdedikasi tinggi, serta mendapatkan dukungan dari infrastruktur yang canggih. Kami berharap Anda dapat membantu kami dalam mengembangkan platform digitaluhan tetapi juga memimpin tren baru dalam industri warnet. 
 
 Pekerjaan Anda sebagai Full Stack Developer atau Software Developer akan meliputi: 
 - Mengembangkan dan memelihara aplikasi web menggunakan Node.js, JavaScript, dan MySQL. 
 - Menerapkan prinsip-prinsip desain arsitektur perangkat lunak yang efisien. 
 - Kerja sama dengan tim untuk memastikan kualitas dan keandalan sistem. 
 - Memastikan keterhubungan antara berbagai layanan dan aplikasi yang berbeda. 
 - Menyediakan dokumentasi yang jelas untuk semua kode dan proses yang dikembangkan. 
 
 Syarat utama untuk posisi ini adalah: 
 - Pendidikan minimal SMP. 
 - Pengalaman kerja antara 1 hingga 3 tahun. 
 - Kemampuan dalam menggunakan Node.js, JavaScript, MySQL, dan Laravel. 
 Kami menyambut lamaran dari individu yang memiliki minat dan dedik untuk belajar dan berkembang bersama kami. Bersama Netarena.id, Anda tidak hanya akan bekerja pada proyek-proyek menarik, tetapi juga akan menjadi bagian dari perubahan positif dalam komunitas warnet."
449,Fullstack Developer,Computer Software,FULL_TIME,Full Stack Developer,Jakarta Selatan,DKI Jakarta,ID,4500000.0,10000000.0,"Flutter, Dart, AI Systems",12.0,high school,"Nextlivin adalah aplikasi yang fokus pada penyediaan solusi dan layanan, khususnya di sektor manajemen properti. Dengan aplikasi ini, Anda dapat mengelola properti Anda dengan lebih efisien. Kami sedang mencari talenta terbaik untuk mengembangkan aplikasi kami dan memastikan pengalaman pengguna yang optimal. Bergabunglah dengan tim kami yang berdedikasi dan bergabunglah dalam misi untuk membawa inovasi teknologi ke industri properti. 
 Kami sangat mengutamakan kandidat yg memiliki pengalaman dalam mengelola sistem AI."
450,Frontend Developer,Computer Software,FULL_TIME,Frontend Developer,Tangerang,Banten,ID,Tidak ada,Tidak ada,"HTML, Next.Js, GIT, React.js, CSS, CI/CD, JavaScript",12.0,bachelor degree,"We are looking for a talented Frontend Developer to create responsive, user-friendly, and high-performance web applications. 
 
 Requirement : 
 
 Bachelor's degree in informatics engineering, information systems engineering 
 1+ year experience as Frontend Developer 
 Proficient in React.js or Next.js (TypeScript) 
 Experience with microservices-based frontend integration 
 Strong in HTML, CSS (Tailwind preferred), JavaScript (ES6+) 
 Familiar with Git & CI/CD workflows 
 Good communication & teamwork 
 Willing to work full on-site in Tangerang"
451,WEB DEVELOPER,Automotive,FULL_TIME,Frontend Developer,Bogor,Jawa Barat,ID,Tidak ada,Tidak ada,"REST API, Attention to Detail, VB.NET, Web Development, SQL, PHP, WordPress Development, CMS",12.0,bachelor degree,"Kualifikasi : 
 
 Pria / Wanita dan usia maksimal 30 tahun 
 Memiliki pengalaman min. 1 tahun 
 Mampu menggunakan CMS dan Wordpress 
 Menguasai bahasa pemograman (API / VB.Net / PHP/ SQL) 
 Berdomisili Bogor"
